Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									  195.00	1	  0.354	1	  0.366	1	  0.11	1	248.2	1	 0.3276	1	  0.0274	1	 94.04	1	 0.3542	1	12.898	1	35.754	1	26.998	1	12.925	1
									  197.00	1	  0.354	1	  0.366	1	  0.04	1	248.3	1	-0.2780	1	  0.0275	1	 94.06	1	 0.3542	1	12.871	1	35.752	1	27.002	1	12.898	1
									  199.00	1	  0.354	1	  0.366	1	  0.06	1	248.1	1	-0.0766	1	  0.0272	1	 93.92	1	 0.3542	1	12.857	1	35.746	1	27.001	1	12.884	1
									  201.00	1	  0.355	1	  0.366	1	  0.11	1	249.1	1	 0.3311	1	  0.0285	1	 94.25	1	 0.3544	1	12.817	1	35.745	1	27.008	1	12.844	1
									  203.00	1	  0.354	1	  0.366	1	  0.16	1	249.1	1	 0.5683	1	  0.0274	1	 94.23	1	 0.3542	1	12.815	1	35.748	1	27.010	1	12.843	1
									  205.00	1	  0.354	1	  0.366	1	  0.29	1	248.3	1	 0.9006	1	  0.0270	1	 93.90	1	 0.3542	1	12.792	1	35.742	1	27.010	1	12.820	1
									  207.00	1	  0.354	1	  0.367	1	  0.25	1	248.1	1	 0.8189	1	  0.0279	1	 93.73	1	 0.3542	1	12.761	1	35.741	1	27.016	1	12.790	1
									  209.00	1	  0.355	1	  0.366	1	  0.13	1	247.6	1	 0.3833	1	  0.0282	1	 93.53	1	 0.3543	1	12.747	1	35.740	1	27.018	1	12.776	1
									  211.00	1	  0.355	1	  0.366	1	  0.14	1	247.6	1	 0.4460	1	  0.0286	1	 93.52	1	 0.3544	1	12.742	1	35.740	1	27.019	1	12.771	1
									  213.00	1	  0.354	1	  0.366	1	  0.21	1	247.5	1	 0.6973	1	  0.0293	1	 93.47	1	 0.3542	1	12.733	1	35.739	1	27.020	1	12.762	1
									  215.00	1	  0.354	1	  0.366	1	  0.06	1	247.7	1	-0.0586	1	  0.0272	1	 93.50	1	 0.3542	1	12.714	1	35.737	1	27.022	1	12.743	1
									  217.00	1	  0.354	1	  0.366	1	  0.10	1	247.2	1	 0.1537	1	  0.0282	1	 93.28	1	 0.3542	1	12.691	1	35.734	1	27.024	1	12.721	1
									  219.00	1	  0.354	1	  0.366	1	  0.36	1	247.6	1	 1.0367	1	  0.0287	1	 93.38	1	 0.3542	1	12.671	1	35.732	1	27.027	1	12.701	1
									  221.00	1	  0.354	1	  0.366	1	  0.14	1	246.9	1	 0.4712	1	  0.0270	1	 93.11	1	 0.3542	1	12.657	1	35.729	1	27.027	1	12.688	1
									  223.00	1	  0.354	1	  0.366	1	  0.12	1	247.8	1	 0.3573	1	  0.0276	1	 93.40	1	 0.3542	1	12.645	1	35.725	1	27.027	1	12.675	1
									  225.00	1	  0.354	1	  0.367	1	  0.05	1	247.9	1	-0.1079	1	  0.0284	1	 93.40	1	 0.3542	1	12.626	1	35.724	1	27.030	1	12.656	1
